Awaiting,"CNIC Mismatch",Date,Death,Driver,Evening,Leave,"Left Job","Night Shift","Not Surveyd",Other,"Other Duty",Present,"Present without Uniform",Retired,Surveyed,Total,Transfer,"Valid Absent",Zone,week,year
0,6,2017-07-26,0,2,0,4,10,8,0,25,6,9,136,1,243,243,15,21,VI,30,2017
3,8,2017-07-25,0,3,0,7,46,14,3,20,10,205,5,2,344,347,4,17,VII,30,2017
0,0,2017-08-01,1,0,0,4,26,7,0,25,2,104,20,1,212,212,13,9,GIP,31,2017
0,11,2017-08-02,3,10,37,21,18,24,5,23,24,575,52,10,829,834,11,10,I,31,2017
1,8,2017-08-03,2,2,28,17,6,20,-1,21,15,156,224,2,532,531,13,17,II,31,2017
0,14,2017-08-05,0,1,21,5,84,34,0,11,3,477,49,2,741,741,8,32,III,31,2017
0,2,2017-08-01,1,1,0,4,12,6,25,16,3,65,71,3,197,222,7,6,JillaniPark,31,2017
1,0,2017-08-03,4,0,8,6,24,18,0,9,13,266,48,7,422,422,11,7,PDLBC,31,2017
0,3,2017-08-01,1,0,1,8,4,17,206,11,3,109,35,1,210,416,6,11,"Project Gulshan-e-Iqbal Park",31,2017
0,15,2017-07-31,1,6,55,10,26,39,0,38,12,621,165,7,1023,1023,4,24,V,31,2017
0,2,2017-08-04,0,1,0,4,11,2,6,6,24,5,124,1,237,243,11,46,VI,31,2017
0,5,2017-08-04,0,2,11,3,46,8,44,0,4,105,1,2,303,347,3,113,VII,31,2017
0,0,2017-08-10,0,9,12,6,0,7,1266,5,175,93,17,1,362,1628,5,32,I,32,2017
0,0,2017-08-10,0,0,3,2,7,5,1325,3,3,128,7,0,163,1488,3,2,III,32,2017
0,0,2017-08-08,1,6,87,16,11,30,1747,22,189,243,266,9,922,2669,21,21,IV,32,2017
0,0,2017-08-09,1,1,5,7,22,23,0,31,90,204,25,5,428,428,10,4,PDLBC,32,2017
6,0,2017-08-07,0,18,115,25,59,87,3004,69,404,1060,197,15,2115,5119,7,53,V,32,2017
0,1,2017-08-12,0,0,7,4,13,0,0,12,41,8,118,1,242,242,12,25,VI,32,2017
0,2,2017-08-09,0,6,5,0,83,2,441,1,19,123,4,0,269,710,2,22,VII,32,2017
0,0,2017-08-15,0,3,2,1,20,2,366,139,33,69,94,1,368,734,4,0,GORs,33,2017
1,0,2017-08-19,0,1,1,7,16,0,3,30,6,85,81,3,248,251,1,16,JillaniPark,33,2017
0,0,2017-08-19,1,2,3,6,20,0,11,19,7,261,58,0,414,425,16,21,PDLBC,33,2017
0,1,2017-08-18,0,5,0,3,51,2,2,6,111,131,17,1,362,364,7,27,VII,33,2017
0,0,2017-08-24,0,0,0,6,28,0,-1,27,1,111,36,0,235,234,17,9,GIP,34,2017
0,0,2017-08-22,0,16,10,19,3,5,693,31,240,442,103,10,958,1651,9,70,I,34,2017
1,0,2017-08-21,1,2,0,18,0,1,14,48,9,127,240,3,516,530,10,56,II,34,2017
0,0,2017-08-26,0,6,0,1,33,0,287,42,5,332,10,0,445,732,2,14,III,34,2017
0,0,2017-08-26,0,6,0,9,10,0,424,7,119,107,149,3,462,886,3,49,IV,34,2017
2,0,2017-08-25,1,1,10,2,20,5,48,13,8,268,10,0,366,414,22,4,PDLBC,34,2017
1,0,2017-08-24,0,0,0,13,3,0,-1,15,0,127,40,2,212,211,7,4,"Project Gulshan-e-Iqbal Park",34,2017
13,0,2017-08-22,0,9,19,15,19,27,2666,50,46,847,228,4,1376,4042,7,92,V,34,2017
0,0,2017-08-24,0,1,0,2,12,0,-2,4,8,9,163,1,251,249,11,40,VI,34,2017
0,0,2017-08-25,0,1,1,0,22,0,569,0,0,70,2,0,99,668,1,2,VII,34,2017
0,0,2017-08-28,0,9,0,1,2,4,615,51,16,88,18,2,212,827,1,20,I,35,2017
0,0,2017-08-29,1,0,0,7,32,0,445,24,5,172,25,1,287,732,4,16,III,35,2017
0,0,2017-08-28,1,4,3,7,4,2,2119,19,10,152,288,4,529,2648,10,25,IV,35,2017
1,0,2017-08-28,1,6,9,6,37,19,106,51,37,500,19,0,721,827,24,11,PDLBC,35,2017
0,0,2017-08-28,0,8,21,5,0,21,1493,26,16,349,38,1,519,2012,6,28,V,35,2017
0,0,2017-08-28,0,4,4,1,3,1,435,1,7,150,4,0,189,624,2,12,VII,35,2017
1,0,2017-09-06,0,0,0,15,2,2,2624,34,26,199,3,0,299,2923,3,14,III,36,2017
0,0,2017-09-06,0,0,1,1,1,0,3368,4,7,133,6,0,153,3521,0,0,IV,36,2017
4,0,2017-09-07,0,3,0,13,30,9,782,48,18,305,10,0,457,1239,6,11,PDLBC,36,2017
0,0,2017-09-06,0,1,9,20,1,34,3402,44,7,408,49,0,621,4023,0,48,V,36,2017
0,0,2017-09-07,0,3,0,0,1,0,696,2,0,210,8,0,240,936,3,13,VII,36,2017
0,0,2017-09-15,0,0,39,6,28,8,-1,18,5,90,23,0,234,233,16,1,GIP,37,2017
0,0,2017-09-13,1,15,4,31,4,9,39,38,37,456,124,9,787,826,14,45,I,37,2017
4,0,2017-09-14,1,0,38,16,0,21,-1,21,25,108,256,3,529,528,11,25,II,37,2017
2,0,2017-09-11,1,2,28,16,70,21,657,32,17,541,32,2,805,1462,9,32,III,37,2017
0,0,2017-09-11,0,3,2,3,0,1,2486,8,1,121,5,3,148,2634,1,0,IV,37,2017
0,0,2017-09-15,1,1,67,2,5,22,2,20,8,57,44,1,240,242,8,4,JillaniPark,37,2017
0,0,2017-09-11,0,2,1,11,26,9,420,23,19,290,7,0,406,826,9,9,PDLBC,37,2017
0,0,2017-09-15,0,1,40,11,4,16,-1,9,6,83,26,1,213,212,7,9,"Project Gulshan-e-Iqbal Park",37,2017
0,0,2017-09-12,1,3,7,6,1,5,1818,7,3,138,17,0,196,2014,0,8,V,37,2017
0,0,2017-09-19,0,2,1,0,0,0,831,1,2,35,3,2,49,880,0,3,IV,38,2017
0,0,2017-09-19,0,1,14,12,26,8,0,21,19,288,10,0,413,413,10,4,PDLBC,38,2017
0,0,2017-09-21,1,16,61,15,9,38,47,50,48,545,130,12,961,1008,7,29,V,38,2017
0,0,2017-09-18,1,2,10,3,19,8,0,15,16,8,132,1,250,250,16,19,VI,38,2017
25,0,2017-09-18,0,6,20,10,2,9,251,5,4,262,18,1,373,624,4,7,VII,38,2017
85,0,2017-09-25,0,13,30,14,4,9,84,16,61,369,95,6,744,828,17,25,I,39,2017
621,0,2017-10-03,0,0,46,6,39,10,-5,33,5,125,28,1,940,935,13,13,GIP,40,2017
295,0,2017-10-02,0,14,35,16,11,9,2874,31,156,386,121,12,1135,4009,18,31,I,40,2017
295,0,2017-10-02,0,0,1,0,0,0,695,5,0,20,17,0,354,1049,1,15,II,40,2017
1108,0,2017-10-02,0,0,0,0,0,0,315,1,0,24,13,0,1148,1463,0,2,III,40,2017
506,0,2017-10-03,0,5,0,2,0,2,1138,4,0,58,35,0,620,1758,0,8,IV,40,2017
399,0,2017-10-02,1,1,68,10,10,22,212,34,4,100,87,2,754,966,2,14,JillaniPark,40,2017
566,0,2017-10-02,0,4,14,5,31,8,629,32,14,294,19,2,1010,1639,10,11,PDLBC,40,2017
96,0,2017-10-03,0,1,40,14,6,14,445,34,3,124,42,2,403,848,12,15,"Project Gulshan-e-Iqbal Park",40,2017
992,0,2017-10-02,0,0,0,0,0,0,1935,5,0,48,11,0,1075,3010,1,18,V,40,2017
455,0,2017-10-02,0,0,0,0,0,0,271,0,0,1,19,0,484,755,0,9,VI,40,2017
149,0,2017-10-02,0,0,0,0,0,0,760,1,0,5,7,0,169,929,0,7,VII,40,2017
0,0,2017-10-14,0,3,3,1,9,1,-1,139,28,62,117,1,370,369,2,4,GORs,41,2017
0,0,2017-10-09,1,23,85,12,3,47,670,59,14,116,425,6,893,1563,22,80,II,41,2017
2,0,2017-10-09,1,4,28,4,64,22,731,51,5,474,31,1,729,1460,14,28,III,41,2017
0,0,2017-10-12,6,7,75,21,18,23,1615,50,43,604,112,8,1022,2637,24,31,IV,41,2017
0,0,2017-10-11,1,21,104,20,17,50,313,253,97,734,267,34,1662,1975,19,45,V,41,2017
0,0,2017-10-13,1,0,8,4,12,9,0,15,3,4,142,1,251,251,22,30,VI,41,2017
0,0,2017-10-14,0,4,11,9,8,7,2,7,0,209,23,5,305,307,5,17,VII,41,2017
180,0,2017-10-19,0,0,0,0,0,1,-1,10,0,23,16,0,234,233,1,3,GIP,42,2017
162,0,2017-10-16,0,14,0,29,18,9,1432,97,186,834,250,26,1771,3203,34,112,I,42,2017
364,0,2017-10-18,1,11,0,6,1,19,986,35,9,208,350,4,1092,2078,31,53,II,42,2017
1245,0,2017-10-18,0,0,0,0,0,0,163,4,0,25,17,0,1293,1456,0,2,III,42,2017
319,0,2017-10-18,0,1,1,1,0,0,1307,9,0,63,32,1,443,1750,4,12,IV,42,2017
161,0,2017-10-18,0,0,0,1,1,0,244,7,0,38,31,0,240,484,0,1,JillaniPark,42,2017
255,0,2017-10-18,0,0,0,0,0,0,541,1,0,18,1,0,277,818,0,2,PDLBC,42,2017
20,0,2017-10-16,0,0,1,3,4,0,127,29,0,163,41,1,286,413,17,7,"Project Gulshan-e-Iqbal Park",42,2017
1003,0,2017-10-18,0,0,0,2,0,2,841,9,0,54,14,1,1103,1944,2,16,V,42,2017
